modulo,columna,dtype,nunique,pct_nulos_antes,pct_nulos_despues,pct_centinela,n_centinela_muestra
modulo03_educacion,P3121A5,str,3,0.0,0.0,0.0,0
modulo03_educacion,P3121A6,str,3,0.0,0.0,0.0,0
modulo03_educacion,P3121B,str,240,0.0,0.0,0.0,0
modulo03_educacion,P3121C,str,45,0.0,0.0,0.0,0
modulo03_educacion,P3121C2,str,1,0.0,0.0,0.0,0
modulo03_educacion,P3121C3,str,1,0.0,0.0,0.0,0
modulo03_educacion,P3121C4,str,41,0.0,0.0,0.0,0
modulo03_educacion,P3121C5,str,6,0.0,0.0,0.0,0
modulo03_educacion,P3121C6,str,2,0.0,0.0,0.0,0
modulo03_educacion,P3121D,str,12,0.0,0.0,0.0,0
modulo03_educacion,P3122,str,3,0.0,0.0,0.0,0
modulo03_educacion,P3122A1,str,2,0.0,0.0,0.0,0
modulo03_educacion,P3122A2,str,2,0.0,0.0,0.0,0
modulo03_educacion,P3122A3,str,2,0.0,0.0,0.0,0
modulo03_educacion,P3122A4,str,3,0.0,0.0,0.0,0
modulo03_educacion,P3122A5,str,2,0.0,0.0,0.0,0
modulo03_educacion,P3122A6,str,2,0.0,0.0,0.0,0
modulo03_educacion,P3122B,str,11,0.0,0.0,0.0,0
modulo03_educacion,P3122C,str,2,0.0,0.0,0.0,0
modulo03_educacion,P3122C2,str,1,0.0,0.0,0.0,0
modulo03_educacion,P3122C3,str,1,0.0,0.0,0.0,0
modulo03_educacion,P3122C4,str,2,0.0,0.0,0.0,0
modulo03_educacion,P3122C5,str,1,0.0,0.0,0.0,0
modulo03_educacion,P3122C6,str,1,0.0,0.0,0.0,0
modulo03_educacion,P3122D,str,3,0.0,0.0,0.0,0
modulo03_educacion,P312T1,str,244,0.0,0.0,0.0,0
modulo03_educacion,P312T22,str,1,0.0,0.0,0.0,0
modulo03_educacion,P312T23,str,1,0.0,0.0,0.0,0
modulo03_educacion,P312T24,str,42,0.0,0.0,0.0,0
modulo03_educacion,P312T25,str,6,0.0,0.0,0.0,0
modulo03_educacion,P312T26,str,2,0.0,0.0,0.0,0
modulo03_educacion,P312T2,str,45,0.0,0.0,0.0,0
modulo03_educacion,P313,str,12,0.0,0.0,0.0,0
modulo03_educacion,P314A,str,3,0.0,0.0,0.0,0
modulo03_educacion,P314B$1,str,3,0.0,0.0,0.0,0
modulo03_educacion,P314B$2,str,3,0.0,0.0,0.0,0
modulo03_educacion,P314B$3,str,3,0.0,0.0,0.0,0
modulo03_educacion,P314B$4,str,3,0.0,0.0,0.0,0
modulo03_educacion,P314B$5,str,3,0.0,0.0,0.0,0
modulo03_educacion,P314B$6,str,3,0.0,0.0,0.0,0
modulo03_educacion,P314B$7,str,3,0.0,0.0,0.0,0
modulo03_educacion,P314B1_1,str,3,0.0,0.0,0.0,0
modulo03_educacion,P314B1_2,str,3,0.0,0.0,0.0,0
modulo03_educacion,P314B1_6,str,3,0.0,0.0,0.0,0
modulo03_educacion,P314B1_7,str,3,0.0,0.0,0.0,0
modulo03_educacion,P314B1_8,str,3,0.0,0.0,0.0,0
modulo03_educacion,P314B1_9,str,3,0.0,0.0,0.0,0
modulo03_educacion,P314D,str,4,0.0,0.0,0.0,0
modulo03_educacion,P3151,str,3,0.0,0.0,0.0,0
modulo03_educacion,P3152,str,2,0.0,0.0,0.0,0
modulo03_educacion,P3153,str,2,0.0,0.0,0.0,0
modulo03_educacion,P3154,str,3,0.0,0.0,0.0,0
modulo03_educacion,P3155,str,2,0.0,0.0,0.0,0
modulo03_educacion,P3156,str,2,0.0,0.0,0.0,0
modulo03_educacion,P315A,str,6,0.0,0.0,0.0,0
modulo03_educacion,P315B,str,2,0.0,0.0,0.0,0
modulo03_educacion,P315B2,str,1,0.0,0.0,0.0,0
modulo03_educacion,P315B3,str,1,0.0,0.0,0.0,0
modulo03_educacion,P315B4,str,2,0.0,0.0,0.0,0
modulo03_educacion,P315B5,str,1,0.0,0.0,0.0,0
modulo03_educacion,P315B6,str,1,0.0,0.0,0.0,0
modulo03_educacion,P316$1,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316$2,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316$3,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316$4,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316$5,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316$6,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316$7,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316$8,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316$9,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316$10,str,2,0.0,0.0,0.0,0
modulo03_educacion,P316$11,str,2,0.0,0.0,0.0,0
modulo03_educacion,P316$12,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316A1,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316A2,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316A3,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316A4,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316A5,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316A6,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316B,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316C1,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316C2,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316C3,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316C4,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316C5,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316C6,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316C7,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316C8,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316C9,str,3,0.0,0.0,0.0,0
modulo03_educacion,P316C10,str,3,0.0,0.0,0.0,0
modulo03_educacion,T313A,str,12,0.0,0.0,0.0,0
modulo03_educacion,P203,int64,10,0.0,0.0,0.0,0
modulo03_educacion,P204,int64,2,0.0,0.0,0.0,0
modulo03_educacion,P205,str,3,0.0,0.0,0.0,0
modulo03_educacion,P206,str,2,0.0,0.0,0.0,0
modulo03_educacion,P207,int64,2,0.0,0.0,0.0,0
modulo03_educacion,P208A,int64,96,0.0,0.0,0.0,0
modulo03_educacion,P209,str,7,0.0,0.0,0.0,0
modulo03_educacion,IMPUTADO,str,2,0.0,0.0,0.0,0
modulo03_educacion,TICUEST01A,int64,1,0.0,0.0,0.0,0
modulo03_educacion,D311B$1,str,307,0.0,0.0,0.0,0
modulo03_educacion,D311D2$1,str,1,0.0,0.0,0.0,0
modulo03_educacion,D311D3$1,str,1,0.0,0.0,0.0,0
modulo03_educacion,D311D4$1,str,1,0.0,0.0,0.0,0
modulo03_educacion,D311D5$1,str,60,0.0,0.0,0.0,0
modulo03_educacion,D311D6$1,str,3,0.0,0.0,0.0,0
modulo03_educacion,D311D7$1,str,1,0.0,0.0,0.0,0
modulo03_educacion,D311D$1,str,61,0.0,0.0,0.0,0
modulo03_educacion,D311B$2,str,228,0.0,0.0,0.0,0
modulo03_educacion,D311D2$2,str,1,0.0,0.0,0.0,0
modulo03_educacion,D311D3$2,str,1,0.0,0.0,0.0,0
modulo03_educacion,D311D4$2,str,1,0.0,0.0,0.0,0
modulo03_educacion,D311D5$2,str,61,0.0,0.0,0.0,0
modulo03_educacion,D311D6$2,str,2,0.0,0.0,0.0,0
modulo03_educacion,D311D7$2,str,1,0.0,0.0,0.0,0
modulo03_educacion,D311D$2,str,61,0.0,0.0,0.0,0
modulo03_educacion,D311B$3,str,69,0.0,0.0,0.0,0
modulo03_educacion,D311D2$3,str,1,0.0,0.0,0.0,0
modulo03_educacion,D311D3$3,str,1,0.0,0.0,0.0,0
modulo03_educacion,D311D4$3,str,1,0.0,0.0,0.0,0
modulo03_educacion,D311D5$3,str,2,0.0,0.0,0.0,0
modulo03_educacion,D311D6$3,str,1,0.0,0.0,0.0,0
modulo03_educacion,D311D7$3,str,1,0.0,0.0,0.0,0
